Year,month,value,var,district
1987,3,7.2,Tmax,East_Anglia
1988,3,9.5,Tmax,East_Anglia
1989,3,11.8,Tmax,East_Anglia
1990,3,12.7,Tmax,East_Anglia
1991,3,11.8,Tmax,East_Anglia
1992,3,10.7,Tmax,East_Anglia
1993,3,10.6,Tmax,East_Anglia
1994,3,11.6,Tmax,East_Anglia
1995,3,9.9,Tmax,East_Anglia
1996,3,6.7,Tmax,East_Anglia
1997,3,12.5,Tmax,East_Anglia
1998,3,11.4,Tmax,East_Anglia
1999,3,11.3,Tmax,East_Anglia
2000,3,11.1,Tmax,East_Anglia
2001,3,8.7,Tmax,East_Anglia
2002,3,11.7,Tmax,East_Anglia
2003,3,12.2,Tmax,East_Anglia
2004,3,10.3,Tmax,East_Anglia
2005,3,10.4,Tmax,East_Anglia
2006,3,8.4,Tmax,East_Anglia
2007,3,11.8,Tmax,East_Anglia
2008,3,9.7,Tmax,East_Anglia
2009,3,11.5,Tmax,East_Anglia
2010,3,10.4,Tmax,East_Anglia
2011,3,10.9,Tmax,East_Anglia
2012,3,12.8,Tmax,East_Anglia
2013,3,5.7,Tmax,East_Anglia
2014,3,13.1,Tmax,East_Anglia
2015,3,10.8,Tmax,East_Anglia
2016,3,9.7,Tmax,East_Anglia
2017,3,13.1,Tmax,East_Anglia
2018,3,8.4,Tmax,East_Anglia
2019,3,12.0,Tmax,East_Anglia
2020,3,10.8,Tmax,East_Anglia
2021,3,10.8,Tmax,East_Anglia
2022,3,12.1,Tmax,East_Anglia
2023,3,10.6,Tmax,East_Anglia
2024,3,12.0,Tmax,East_Anglia
2025,3,13.1,Tmax,East_Anglia
2026,3,12.3,Tmax,East_Anglia
1884,4,11.2,Tmax,East_Anglia
1885,4,12.8,Tmax,East_Anglia
1886,4,11.9,Tmax,East_Anglia
1887,4,11.1,Tmax,East_Anglia
1888,4,10.1,Tmax,East_Anglia
1889,4,11.0,Tmax,East_Anglia
1890,4,11.5,Tmax,East_Anglia
1891,4,10.4,Tmax,East_Anglia
1892,4,13.2,Tmax,East_Anglia
1893,4,16.2,Tmax,East_Anglia
1894,4,14.7,Tmax,East_Anglia
1895,4,13.0,Tmax,East_Anglia
1896,4,13.2,Tmax,East_Anglia
1897,4,11.5,Tmax,East_Anglia
1898,4,13.2,Tmax,East_Anglia
1899,4,12.2,Tmax,East_Anglia
1900,4,13.3,Tmax,East_Anglia
